,S.No,Name,,Imdb,Twitter,Instagram,Fb,,
,57,Himansh Kohli,Film Actor,https://pro.imdb.com/name/nm4946996,https://twitter.com/himanshkohli,https://www.instagram.com/kohlihimansh/,https://www.facebook.com/himanshkohli3,,
,58,Nawazuddin Siddiqui,Film Actor,https://pro.imdb.com/name/nm1596350,https://twitter.com/Nawazuddin_S,https://www.instagram.com/nawazuddin._siddiqui/,https://www.facebook.com/NawazuddinSiddiqui,,
,59,Purab Kohli,Film Actor,https://pro.imdb.com/name/nm1327322,https://twitter.com/Purab_Kohli,https://www.instagram.com/purab_kohli/,https://www.facebook.com/PurabKohliOfficial,,
,60,Tusshar Kapoor,Film Actor,https://pro.imdb.com/name/nm0969428,https://twitter.com/TusshKapoor,https://www.instagram.com/tusshkapoor/,https://www.facebook.com/TussharKapoorOfficial,,
,61,Amit Sadh,Film Actor,https://pro.imdb.com/name/nm2815326,https://twitter.com/TheAmitSadh,https://www.instagram.com/theamitsadh/,https://www.facebook.com/TheAmitSadh,,
,62,Suniel Shetty,Film Actor,https://pro.imdb.com/name/nm0792911,https://twitter.com/SunielVShetty,https://www.instagram.com/suniel.shetty/,https://www.facebook.com/SunielVShetty,,
,63,Kunal Kapoor,Film Actor,https://pro.imdb.com/name/nm1577858,https://twitter.com/kapoorkkunal,https://www.instagram.com/kunalkkapoor/,https://www.facebook.com/KunalKaranKapoorOfficialFanPage,,
,64,Shreyas Talpade,Film Actor,https://pro.imdb.com/name/nm1662277,https://twitter.com/shreyastalpade1,https://www.instagram.com/shreyastalpade27/,https://www.facebook.com/shreyastalpadeofficial,,
,65,Karan Singh Grover,Film Actor,https://pro.imdb.com/name/nm2822547,https://twitter.com/Iamksgofficial,https://www.instagram.com/iamksgofficial/,https://www.facebook.com/Iamksgofficial,,
,66,Varun Sharma,Film Actor,https://pro.imdb.com/name/nm5607349,https://twitter.com/varunsharma90,https://www.instagram.com/fukravarun/,https://www.facebook.com/Fukravarun,,
,67,Abhay Deol,Film Actor,https://pro.imdb.com/name/nm1867717,https://twitter.com/AbhayDeol,https://www.instagram.com/abhaydeol/,https://www.facebook.com/AbhayDeol,,
,68,Ronit Roy,Film Actor,https://pro.imdb.com/name/nm0747172,https://twitter.com/RonitBoseRoy,https://www.instagram.com/ronitboseroy/,https://www.facebook.com/Ronit-Roy-262358133884628,,
,69,Harshvardhan Kapoor,Film Actor,https://pro.imdb.com/name/nm7561367,https://twitter.com/HarshKapoor_,https://www.instagram.com/harshvardhankapoor/,https://www.facebook.com/HarshvardhanKapoor,,
,70,Imran Khan,Film Actor,https://pro.imdb.com/name/nm1405359,NA,https://www.instagram.com/imrankhan/,https://www.facebook.com/ActorImranKhan,,
,71,Sunny Deol,Film Actor,https://pro.imdb.com/name/nm0219971,https://twitter.com/iamsunnydeol,https://www.instagram.com/iamsunnydeol/,https://www.facebook.com/sunnydeol,,
,72,Jackky Bhagnani,Film Actor,https://pro.imdb.com/name/nm1513319,https://twitter.com/jackkybhagnani,https://www.instagram.com/jackkybhagnani/,https://www.facebook.com/JackkyBhagnaniOfficial,,
,73,Manish Paul,Film Actor,https://pro.imdb.com/name/nm3911132,https://twitter.com/ManishPaul03,https://www.instagram.com/manish_paul9/,https://www.facebook.com/ManishPaul03,,
,74,Kartik Aaryan,Film Actor,https://pro.imdb.com/name/nm4449711,https://twitter.com/TheAaryanKartik,https://www.instagram.com/kartikaaryan/,https://www.facebook.com/KartikAaryanOfficial,,
,75,Deepika Padukone,Film Actress,https://pro.imdb.com/name/nm2138653,https://twitter.com/deepikapadukone,https://www.instagram.com/deepikapadukone/,https://www.facebook.com/DeepikaPadukone,,
,76,Sonam Kapoor Ahuja,Film Actress,https://pro.imdb.com/name/nm2128238,https://twitter.com/sonamakapoor,https://www.instagram.com/sonamkapoor/,https://www.facebook.com/OfficialSonamKapoor,,
,77,Tabu,Film Actress,https://pro.imdb.com/name/nm0007102,NA,https://www.instagram.com/tabutiful/,NA,,
,78,Alia Bhatt,Film Actress,https://pro.imdb.com/name/nm1017633,https://twitter.com/aliaa08,https://www.instagram.com/aliaabhatt/,https://www.facebook.com/pg/ImAliaaBhatt,,
,79,Anushka Sharma,Film Actress,https://pro.imdb.com/name/nm3087728,https://twitter.com/AnushkaSharma,https://www.instagram.com/anushkasharma/,https://www.facebook.com/AnushkaSharmaOfficial,,
,80,Priyanka Chopra,Film Actress,https://pro.imdb.com/name/nm1231899,https://twitter.com/TeamPriyanka,https://www.instagram.com/priyankachopra/,https://www.facebook.com/priyankachopra,,
,81,Shraddha Kapoor,Film Actress,https://pro.imdb.com/name/nm3601766,https://twitter.com/ShraddhaKapoor,https://www.instagram.com/shraddhakapoor/,https://www.facebook.com/ShraddhaKapoor,,
,82,Jacqueline Fernandez,Film Actress,https://pro.imdb.com/name/nm2596365,https://twitter.com/Asli_Jacqueline,https://www.instagram.com/jacquelinef143/,https://www.facebook.com/AsliJacquelineFernandez,,
,83,Parineeti Chopra,Film Actress,https://pro.imdb.com/name/nm4495174,https://twitter.com/ParineetiChopra,https://www.instagram.com/parineetichopra/,https://www.facebook.com/ParineetiChopraOfficial,,
,84,Sonakshi Sinha,Film Actress,https://pro.imdb.com/name/nm3848064,https://twitter.com/sonakshisinha,https://www.instagram.com/aslisona/,https://www.facebook.com/sonakshisinhaofficial,,
,85,Bipasha Basu,Film Actress,https://pro.imdb.com/name/nm0060607,https://twitter.com/bipsluvurself,https://www.instagram.com/bipashabasu/,https://www.facebook.com/BipashaBasu,,
,86,Shilpa Shetty Kundra,Film Actress,https://pro.imdb.com/name/nm0792908,https://twitter.com/TheShilpaShetty,https://www.instagram.com/theshilpashetty/,https://www.facebook.com/TheShilpaShetty,,
,87,Shruti Haasan,Film Actress,https://pro.imdb.com/name/nm1599046,https://twitter.com/shrutihaasan,https://www.instagram.com/shrutzhaasan.official/,https://www.facebook.com/ShrutiHaasan,,
,88,Vidya Balan,Film Actress,https://pro.imdb.com/name/nm1799038,https://twitter.com/vidya_balan,https://www.instagram.com/balanvidya/,https://www.facebook.com/RealVidyaBalan,,
,89,Kajol,Film Actress,https://pro.imdb.com/name/nm0004418,https://twitter.com/KajolAtUN,https://www.instagram.com/kajol/,https://www.facebook.com/KajolDevgan,,
,90,Juhi Chawla,Film Actress,https://pro.imdb.com/name/nm0004487,https://twitter.com/iam_juhi,https://www.instagram.com/iamjuhichawla/,https://www.facebook.com/IamJuhiChawla,,
,91,Katrina Kaif,Film Actress,https://pro.imdb.com/name/nm1229940,https://twitter.com/ikatrinakaf,https://www.instagram.com/katrinakaif/,https://www.facebook.com/KatrinaKaif,,
,92,Kriti Sanon,Film Actress,https://pro.imdb.com/name/nm5305841,https://twitter.com/kritisanon,https://www.instagram.com/kritisanon/,https://www.facebook.com/OfficialKS10,,
,93,Rakul Preet Singh,Film Actress,https://pro.imdb.com/name/nm5114849,https://twitter.com/Rakulpreet,https://www.instagram.com/rakulpreet/,https://www.facebook.com/ActressRakulPreet,,
,94,Raveena Tandon,Film Actress,https://pro.imdb.com/name/nm0849199,https://twitter.com/TandonRaveena,https://www.instagram.com/officialraveenatandon/,https://www.facebook.com/RaveenaTandonOfficial,,
,95,Sunny Leone,Film Actress,https://pro.imdb.com/name/nm1293381,https://twitter.com/SunnyLeone,https://www.instagram.com/sunnyleone/,https://www.facebook.com/sunnyleone,,
,96,Yami Gautam,Film Actress,https://pro.imdb.com/name/nm4417069,https://twitter.com/yamigautam,https://www.instagram.com/yamigautam/,https://www.facebook.com/YamiGautam,,
,97,Soha Ali Khan,Film Actress,https://pro.imdb.com/name/nm1675786,https://twitter.com/sakpataudi,https://www.instagram.com/sakpataudi/,https://www.facebook.com/SohaAliKhanPataudi,,
,98,Preity Zinta,Film Actress,https://pro.imdb.com/name/nm0006689,https://twitter.com/realpreityzinta,https://www.instagram.com/realpz/,https://www.facebook.com/officialpz,,
,99,Sridevi,Film Actress,https://pro.imdb.com/name/nm0004437,https://twitter.com/SrideviBKapoor,https://www.instagram.com/sridevi.kapoor/,NA,,
,100,Dia Mirza,Film Actress,https://pro.imdb.com/name/nm1069850,https://twitter.com/deespeak,https://www.instagram.com/diamirzaofficial/,https://www.facebook.com/DiaMirzaOfficial,,
,101,Neha Dhupia,Film Actress,https://pro.imdb.com/name/nm1226448,https://twitter.com/NehaDhupia,https://www.instagram.com/nehadhupia/,https://www.facebook.com/nehadhupiaofficial,,
,102,Sushmita Sen,Film Actress,https://pro.imdb.com/name/nm0784047,https://twitter.com/thesushmitasen,https://www.instagram.com/sushmitasen47/,https://www.facebook.com/thesushmitasen,,
,103,Konkona Sen Sharma,Film Actress,https://pro.imdb.com/name/nm1234298,https://twitter.com/konkonas,https://www.instagram.com/konkona/,NA,,
,104,Nargis Fakhri,Film Actress,https://pro.imdb.com/name/nm3668216,https://twitter.com/NargisFakhri,https://www.instagram.com/nargisfakhri/,https://www.facebook.com/NargisFakhri,,
,105,Tamannaah Bhatia,Film Actress,https://pro.imdb.com/name/nm1961459,https://twitter.com/tamannaahspeaks,https://www.instagram.com/tamannaahspeaks/,https://www.facebook.com/Tamannaah,,
,106,Ileana D'Cruz,Film Actress,https://pro.imdb.com/name/nm2299825,https://twitter.com/Ileana_Official,https://www.instagram.com/ileana_official/,https://www.facebook.com/IleanaDCruz,,
,107,Taapsee Pannu,Film Actress,https://pro.imdb.com/name/nm3966456,https://twitter.com/taapsee,https://www.instagram.com/taapsee/,https://www.facebook.com/taapseeofficial,,
,108,Huma Qureshi,Film Actress,https://pro.imdb.com/name/nm4806622,https://twitter.com/humasqureshi,https://www.instagram.com/iamhumaq/,https://www.facebook.com/huma.qureshi,,
,109,Kajal Aggarwal,Film Actress,https://pro.imdb.com/name/nm2570245,https://twitter.com/MsKajalAggarwal,https://www.instagram.com/kajalaggarwalofficial/,https://www.facebook.com/ImKajalAggarwal,,
,110,Pooja Hegde,Film Actress,https://pro.imdb.com/name/nm5249562,https://twitter.com/hegdepooja,https://www.instagram.com/hegdepooja/,https://www.facebook.com/PoojaHegde,,
,111,Genelia Deshmukh,Film Actress,https://pro.imdb.com/name/nm1299510,https://twitter.com/geneliad,https://www.instagram.com/geneliad/,https://www.facebook.com/GeneliadOfficial,,
,112,Elli Avram,Film Actress,https://pro.imdb.com/name/nm5675978,https://twitter.com/ElliAvrRam,NA,https://www.facebook.com/ElliAvrram,,
,113,Lauren Gottlieb,Film Actress,https://pro.imdb.com/name/nm2689943,https://twitter.com/LaurenGottlieb,https://www.instagram.com/laurengottlieb/,https://www.facebook.com/LaurenGottliebofficial,,
,114,Ameesha Patel,Film Actress,https://pro.imdb.com/name/nm0665349,https://twitter.com/ameesha_patel,https://www.instagram.com/ameeshapatel9/,https://www.facebook.com/Ameesha-Patel-184288354978952,,
,115,Evelyn Sharma,Film Actress,https://pro.imdb.com/name/nm1907272,https://twitter.com/evelyn_sharma,https://www.instagram.com/evelyn_sharma/,https://www.facebook.com/OfficialEvelynSharma,,
,116,Parvathy Omanakuttan,Film Actress,https://pro.imdb.com/name/nm4273257,https://twitter.com/ParvathyO_1303,https://www.instagram.com/parvathyo13/,https://www.facebook.com/ParvathyOmanakuttan,,
